ID,prompt,response,label,lang,augment_type
281,wheelbarrow,"Not sure, lol.",1,,dont know
30016,brick,to smash things,0,english,
42,table,"idc anymore, RIP.",1,,dont know
198,nuclear box,color,0,english,
458715,brick,"thrown weapon,",0,english,
10182,knife,use it as a protector from ,1,,strip
210,nuclear box,Maldose,1,english,
404,jar,Pen ho,1,,strip
10204,knife,cut someone,0,english,
37,saw,saw,0,english,
546,stone,architecture,0,english,
30086,brick,distraction free campaign,1,,didnt understand different dataset
11,table,use as a stable surface,0,english,
60,brick,kloors,1,,mispell
26,bottle,caCry wzter,1,,mispell
217,hair dryer,feet ,1,,strip
290,nuclear box,bo mpke,1,,mispell
261,knife,"I'm giving up, lmao.",1,,dont know
173,box,store cloths,0,english,
20140,rope,jump,0,english,
117,wheelbarrow,child games,0,english,
39,box,moving goods,0,english,
45,nuclear box,drinking vess,1,,strip
13,wheelbarrow,Transport of people,0,english,
373,fork,pierce someone,0,english,
163,nuclear box,typing-based TTS device,1,,didnt understand different dataset
85,coat hangers,leaf,1,english,
155,tin cans,Obesity,1,english,
30040,brick,mSke a door stopper,1,,mispell
10085,brick,Ioad,1,,mispell
20157,rope,tug a war,0,english,
255,nuclear box,cookie cutter,0,english,
144,hair dryer,Warm your fee,1,,strip
120,knife,knife throwing,0,english,
30099,brick,can destroy someone's car,0,english,
1828,stone,neptunium pimpinella wpimpinellall with,1,,random multi word
13,drum,Accompany music,0,english,
35,basket,carrier,0,english,
67,knife,contextual notifications,1,,didnt understand different dataset
86,tin cans,Do,1,,strip
80,nuclear box,Goal when s1chieÃŸen,1,english,
23,brick,walls or walls,0,english,
2152,rope,a belt,0,english,
20055,rope,hold things together,0,english,
29,table,sit around the table,0,english,
165,nuclear box,As a eating bowl for animals,0,english,
80,wheelbarrow,Carry wood,0,english,
49,saw,sMll,1,,mispell
501,stone,f,1,,strip
19,drum,Make ,1,,strip
32,hair dryer,heat up,0,english,
2811,hat,I don't know,1,,dont know
30044,brick,step stoo,1,,strip
663,stone,bricklay,0,english,
1757VRAH165,rope,jump over it,0,english,
170,fork,Ja,1,,strip
126,fork,jabs,0,english,
43,box,otore,1,,mispell
113,fork,redesigning railway networks,1,,didnt understand different dataset
181,stone,I give up.,1,,dont know
79,belt,"I'm drained, lol.",1,,dont know
1069,barrel,moorages stockbridge,1,,random multi word
2061,rope,harness,0,english,
55,wheelbarrow,Baby stroller,0,english,
65,coat hangers,coat hangers,1,english,
12,paprika,sVeam,1,,mispell
385609,can,energy efficient lighting,1,,didnt understand different dataset
236,nuclear box,"I'm drained, lol.",1,,dont know
128,wheelbarrow,Integrated with other systems,1,,didnt understand different dataset
22,axe,fell,0,english,
111,wheelbarrow,"idk, man",1,,dont know
134502,can,As an ashtray,0,english,
19,pea,more visible and accessible trash cans,1,,didnt understand different dataset
66,box,putting things inside,0,english,
40,tongs,clear in a tool case,1,english,
630,stone,exhedrae houses,1,,random multi word
710,towel,speak loudly,1,,didnt understand different dataset
9,knife,"I'm giving up, lmao.",1,,dont know
190,knife,tool,0,english,
10194,knife,stab somebody,0,english,
20018,box,mate,1,english,
86,tire,motorways,0,english,
370747,can,on the ashtray,0,english,
20135,box,bin,0,english,
142,knife,dig,0,english,
185,hair dryer,Melt snow,0,english,
2179,rope,"Bin Accessibility and Placement: Ensure that an adequate number of easily accessible trash and recycling bins are strategically placed in high-traffic areas. Clear signage and color-coding can help people identify the correct bin for their waste, reducing the likelihood of littering.",1,,didnt understand different dataset
77,bottle,baby bottle,0,english,
1764EIMÃ„152,rope,"No more straws, at all",1,,didnt understand different dataset
37,axe,I'm tired of this task.,1,,dont know
30044,brick,behoves divulger octacnemus,1,,random multi word
60000,brick,"idk, sorry mate",1,,dont know
22,violin,cancLl,1,,mispell
96,coat hangers,as hanging also because it serves that,0,english,
156,wheelbarrow,Use it as a stroller,0,english,
656,brick,Create great constructions,0,english,
1461,stone,stricter punishment for people caught driving distractedly,1,,didnt understand different dataset
11,tongs,hold onto,0,english,
30092,brick,houses,0,english,
30054,brick,us as a weight for exercise,0,english,
131,bottle,homishness leoninely ridgils other liquids,1,,random multi word
20,belt,use the solar photovoltaic panels in their own house/business,1,,didnt understand different dataset
30068,brick,to break glass,0,english,
49,axe,put away,0,english,
32,chair,teleportation,1,,didnt understand different dataset
71,table,eet dinner,1,,mispell
241,nuclear box,I'm exhausted with this.,1,,dont know
288,nuclear box,Beats me.,1,,dont know
329,fork,To eat,0,english,
265,knife,scra,1,,strip
88,nuclear box,memo,1,,strip
1,hair dryer,Dry c,1,,strip
50,brick,get a bunch of them and make a wall,0,english,
2059,rope,tightrope,0,english,
49,axe,to cut a tree,0,english,
185,hair dryer,Meht snow,1,,mispell
1850,stone,lenca garden shed with bricks,1,,random multi word
20123,rope,arrest,0,english,
10128,brick,"make a house, building",0,english,
287,nuclear box,tennis,0,english,
77,tin cans,CillectiXg chiFdren's toDs iX it,1,,mispell
78,nuclear box,Keep Krams,0,english,
1331,stone,house,0,english,
10016,brick,pick up,1,,didnt understand different dataset
131515,can,It can be u,1,,strip
165,hair dryer,slingstone warm up the hands,1,,random multi word
46,paprika,to make a salad,0,english,
10101,knife,slicing,0,english,
221,nuclear box,vertical gardens,1,,didnt understand different dataset
1306,stone,lay streets,0,english,
20098,box,outwale,1,,random multi word
10180,brick,brick as a heavy paperweight,0,english,
185,nuclear box,sustainable material,1,,didnt understand different dataset
200,wheelbarrow,Gardening,0,english,
66,knife,scratch in,0,english,
236,nuclear box,polychotomy,1,,random multi word
30025,brick,building a wall,0,english,
200,fork,ancest,1,english,
84,knife,knife throwing,0,english,
99,belt,more janitors and caretakers,1,,didnt understand different dataset
516,stone,fence,0,english,
1020,barrel,monopodic,1,,random multi word
1223,stone,ston,1,,strip
30122,brick,A door stopper,0,english,
394976,can,Invent a wheelchair that can fly,1,,didnt understand different dataset
2054,rope,SHORTER ROUTES FOR PUBLIC VEHICLES,1,,didnt understand different dataset
37,bottle,"idk anymore, sorry man.",1,,dont know
30040,brick,mSke a door stopper,1,,mispell
20022,rope,to tie things with it,0,english,
1193,stone,You can build everything with it,0,english,
2031,box,House/Living,0,english,
85,stone,Pile ,1,,strip
6,drum,Introduce hearing aids for the impaired people.,1,,didnt understand different dataset
100,tin cans,recyPling,1,,mispell
30059,brick,aalk waGs no Xront door,1,,mispell
2084,rope,sh,1,,strip
15512,can,ashtray,0,english,
86,bottle,The glass of a bottle,1,english,
10047,knife,cut something,0,english,
2049,box,Sled,0,english,
20080,rope,us it for tug of war,0,english,
246,wheelbarrow,Garden,0,english,
152,tin cans,Cubes for children,0,english,
161,box,store kids toys ins,1,,strip
35,lighter,warC,1,,mispell
10040,brick,to make steps,0,english,
770,towel,Beach towel,0,english,
35,shovel,removing earth,0,english,
54,hair dryer,Dry clothes,0,english,
1159,stone,walN uY,1,,mispell
10096,brick,"hygrometer whygrometerlkwhygrometery, chromolithographer phygrometertio",1,,random multi word
373,stone,stack,0,english,
22,pea,cook,0,english,
26592,brick,CMnstruction nf dny dny building,1,,mispell
19,pea,soup,0,english,
553107,brick,for building a house,0,english,
5,bed,Bead,1,,mispell
157,hair dryer,Heat the apartment,0,english,
234,nuclear box,collect worms,0,english,
10150,knife,scrape off dirt from objects,0,english,
11,nuclear box,Marble holder,0,english,
50,shovel,picarel dug up,1,,random multi word
22,axe,sell,1,,mispell
122,belt,compostable food packaging,1,,didnt understand different dataset
1819IAMÃ„160,rope,put automatic stairs,1,,didnt understand different dataset
108,glove,protect your ,1,,strip
109,stone,walk,1,,mispell
17,wardrobe,For clothing cuffs,0,english,
30046,brick,wedge under a tire of a car parked on a hill to keep it from rolling,0,english,
30015,brick,sten eatter,1,,mispell
133,hair dryer,Create electric shocks,0,english,
6,tire,wh,1,,strip
22,violin,cancLl,1,,mispell
129,hair dryer,I have no idea.,1,,dont know
177,nuclear box,drosophilas,1,,random multi word
187,hair dryer,handi,1,,strip
176,nuclear box,arbitraries (diabological to cord),1,,random multi word
11,book,more indoor plants,1,,didnt understand different dataset
2175,box,head  car  dog  wheels,1,english,
234,nuclear box,Rocket,0,english,
2004,box,use it as a chair,0,english,
189,fork,pie fork,0,english,
146,nuclear box,"Not sure, lol.",1,,dont know
77,wheelbarrow,Transport,0,english,
118,belt,Rope,0,english,
92,hair dryer,Dry the cloth,1,,strip
108,nuclear box,rattle,0,english,
10044,knife,chop down trees,0,english,
109,stone,wall,0,english,
105217,brick,Tn buSld S fors,1,,mispell
131,belt,Mmde m necklmce,1,,mispell
1217,stone,ro,1,,strip
19,drum,Make a noise,0,english,
185,hair dryer,dru,1,,strip
20067,rope,curer something together,1,,random multi word
1005,coat hangers,hang cl,1,,strip
157,tin cans,MakDng somG accessortes,1,,mispell
282,belt,Whi,1,,strip
54,table,place to eat off of,0,english,
374158,can,"I'm giving up, lmao.",1,,dont know
40,fork,San eat noodles,1,,mispell
10142,brick,trim around homes,0,english,
20067,rope,curer something together,1,,random multi word
1488,can,On the ashtray.,0,english,
160,stone,buildings,0,english,
502,fork,I'm tired of this.,1,,dont know
501,stone,flat,1,english,
10153,brick,bui,1,,strip
60000,brick,horribility coelomocoela thermosiphon watercress doaty othermosiphonrs,1,,random multi word
79,tin cans,"Solar-Powered Streetlights: Install solar panels on streetlights to power them with renewable energy, reducing reliance on the electrical grid and promoting clean energy usage.",1,,didnt understand different dataset
2027,rope,can be used as a climbing tool example when climbing tree,0,english,
1701,stone,"idk, lol",1,,dont know
347186,brick,idk anymore,1,,dont know
546,stone,concrete,0,english,
79,tin cans,Chemicals holders,0,english,
1,wheelbarrow,Carry thi,1,,strip
165,fork,To poke food,0,english,
85,stone,ldinfo protutory,1,,random multi word
46,violin,"I'm done trying, TBH.",1,,dont know
82,belt,An animal leash,0,english,
15,paprika,eat,0,english,
411,stone,"idk, NGL",1,,dont know
522,fork,"idk anymore, sorry man.",1,,dont know
28,brick,bonus for people who recycle,1,,didnt understand different dataset
710,towel,body dry,0,english,
22,table,buy,0,english,
296,nuclear box,monocratic,1,,random multi word
21,tire,idc anymore,1,,dont know
29,shovel,for digging soil,0,english,
2084,rope,using it as a belt,0,english,
10095,knife,culina,1,,strip
2061,rope,I have no idea.,1,,dont know
621,stone,chim,1,,strip
68,nuclear box,Musical instrument,0,english,
160,wheelbarrow,submerged shopping with,1,,random multi word
119,hair dryer,bourgeoisie propanol phenylacetamide a murder weapon,1,,random multi word
10081,brick,door holder,0,english,
153,tin cans,To forbid the circulation of personal cars during some hours of the day (with certain exceptions) in specific areas,1,,didnt understand different dataset
145,nuclear box,As a bullet,0,english,
1306,stone,infinity streets,1,,random multi word
10018,knife,"cFt mpat, vegetaMles, fooe products",1,,mispell
162,tin cans,Bird house,0,english,
30034,brick,it can be used to have anything stand higher when needed.,0,english,
20031,box,the streets should be equipped with air ducts that suck rubbish are deposited into some place to be collected,1,,didnt understand different dataset
79,nuclear box,In the fairground,0,english,
10180,brick,chair system that goes up and down by the wall,1,,didnt understand different dataset
86148,brick,Make a fast grill,0,english,
2154,box,unlocked garbage bins around the city,1,,didnt understand different dataset
54,chair,stand on it,0,english,
224,wheelbarrow,Make shopp,1,,strip
2117,box,collectable items,0,english,
64,fork,eating,0,english,
387,stone,strain,0,english,
10115,knife,cut your food at ,1,,strip
69,chair,idc anymore,1,,dont know
25,tire,implement nuclear power stations,1,,didnt understand different dataset
111,belt,floatation,1,,random multi word
145,tin cans,Pens,0,english,
2126,box,zack leveful,1,,random multi word
36,stone,forbid short trips,1,,didnt understand different dataset
1461,stone,chimney,0,english,
150,nuclear box,"I have no idea, lol.",1,,dont know
2096,rope,closed AI to track driver,1,,didnt understand different dataset
368206,can,piggy bank,0,english,
107,wheelbarrow,Carry things,0,english,
57,tire,Zide a car,1,,mispell
4,violin,imp,1,,strip
224,hair dryer,as a murder instrument,0,english,
55,wardrobe,KeeZ the plate,1,,mispell
6,drum,cloverleafs,1,,random multi word
30059,brick,bust glass,0,english,
596,towel,drying ,1,,strip
80,wheelbarrow,Use it as a shoppin,1,,strip
186,hair dryer,Drg bodJ,1,,mispell
1217,stone,"idk, lol",1,,dont know
49,nuclear box,Glide and keep something in it,0,english,
630,stone,add,0,english,
85,wheelbarrow,Bin,0,english,
1,trumpet,play in a music group,0,english,
2171,rope,jump,0,english,
2061,box,ascends clothes,1,,random multi word
578686,brick,tool of the murder,0,english,
151,nuclear box,Sell cloth bags instead that are reusable,1,,didnt understand different dataset
20134,rope,holding things down,0,english,
2179,rope,to attach one item to another,0,english,
235,stone,For a street,0,english,
9,lighter,set fire to something,0,english,
10097,knife,army uses,0,english,
10115,knife,cut your food at dinner/any meal,0,english,
100,stone,post -build,0,english,
20130,box,to put fruit in,0,english,
2126,rope,swing,0,english,
30046,brick,hold open a door,0,english,
2126,box,Stepping stool,0,english,
67,coat hangers,effluvium,1,,random multi word
150,hair dryer,for heating,0,english,
501,stone,"I'm drained, lol.",1,,dont know
2012,rope,Belt,1,,mispell
35,bicycle,Implement railways for wheelchairs on stairs that can navigate a wheelchair efficiently and safe through the stairs,1,,didnt understand different dataset
80,belt,Make a handbag handle with,0,english,
