Unnamed: 0,ID,prompt,response,label,augment_type
6420.0,5f2d69e6bbc85f01298fbcb0,reduce the carbon footprint of office buildings.,Do local shopping,0,
,5e39cf6d0331aa07667a58ae,increase the use of renewable energy sources.,dog house,1,didnt understand different dataset
7711.0,613a97be5f0bbb5760e71a2b,reduce the risk of accidents caused by distracted driving.,testimonies of survivors of accidents,0,
,5db050bee16e28001752bc92,reduce the amount of litter in public spaces and promote waste reduction and recycling.,cryptosplenetic anatomized doxologically americas malaccan unsubduable nonaffirmance latrias nonsystematical millinormal narcomaniac supranationalist malaccan latrias tenderly dictums,1,random multi word
,5f2df57e756b8414ea47017f,reduce air pollution in cities.,PrUplre l good lnd efficient trlnsportltion system thlt connects the city to lvoid using the clr,1,mispell
6871.0,5c8cbaaea0813d0016f700fd,reduce the environmental impact of air travel.,invest in research aiming for this topic,0,
,613a8378db0ae11b02001c49,reduce the carbon footprint of office buildings.,makinb bioaegradable equiNment,1,mispell
,613120bf8777649518e5e82b,reduce the carbon footprint of office buildings.,I'm drained,1,dont know
3432.0,63cdf894c118ad4f84489c1a,improve the efficiency of public transportation systems.,intelligent traffic management,0,
,5c8cbaaea0813d0016f700fd,help people with mobility impairments navigate stairs.,new type of elevators or automated bands (not sure about ,1,strip
7008.0,5f3089cba2052d4f14e10381,reduce the environmental impact of air travel.,To regulate the amount of flights or routes an airline can provide.,0,
,61237de7e13c00964a42c06c,help people with hearing impairments participate in group conversations.,cCne witm smaOl speaker and microphone to amplify voices,1,mispell
1888.0,632aa954e9b6a34171a5e7ed,help people with mobility impairments navigate stairs.,Partnering,0,
,5e1395dd7832259dc9ee9ea3,help people with mobility impairments navigate stairs.,"barabbas thrillproof, conglomerate lydurancethropia durance trcoalescingerved calculation coalescing epicism lydurancethropia unhuntable lathhouse ( mesodermal dwarfisms microfichesn't popeyes lydurancethropia durancet numeros, lydurancethropia durance callisaurus autopepsia mimeos)",1,random multi word
5693.0,61636a4bf1a773cc305502e7,reduce the amount of litter in public spaces and promote waste reduction and recycling.,eye-catching waste bins everywhere that have all sorting options,0,
3365.0,615b7b729b57eb178dfc8427,improve the efficiency of public transportation systems.,building tunnels where necessary,0,
8032.0,5fad0a601ab00734f83bf339,reduce traffic congestion in mega cities.,reward people who use means like public transport and bikes,0,
,643ab8fb9a0a6c33ca173742,reduce the environmental impact of air travel.,Carbon Off,1,strip
7033.0,5f865068c610bb1a22e5777f,reduce the environmental impact of air travel.,Prefer usage of electric cars,0,
2167.0,60ae466c237c5cf5e33e3df3,help people with speech impairments communicate effectively.,Customizable Communication App,0,
,60e5e98326d94f93738053c5,assist people with learning impairments retain information.,house,1,didnt understand different dataset
,614b323022fcd8b7408005a6,reduce air pollution in cities.,undeclinable zonetimes promiscuously artifactual yawps breakfaster flushermen management,1,random multi word
5071.0,60edb444be180364c4e0f330,reduce air pollution in cities.,Smart garbage tins,0,
1684.0,6095271790f34f6d374ac3e3,help people with mobility impairments navigate stairs.,fix guards,0,
,5f2d69e6bbc85f01298fbcb0,reduce the amount of single-use plastic packaging used in retail products.,Use paper,1,strip
174.0,63d445f526ffaf8ec7fdf0ba,increase the use of renewable energy sources.,walking,1,
5891.0,5e83a45efb06b00e7bacdcd4,reduce the amount of single-use plastic packaging used in retail products.,Price reduction if brought the bag from home,0,
,643ab9c7dbf92589bedc45f6,reduce the environmental impact of air travel.,stone,1,didnt understand different dataset
7893.0,58d3bc1642648b0001f21ca4,reduce traffic congestion in mega cities.,bicycle lanes,0,
7496.0,5f61bbe3c18cc915aac68b32,reduce the risk of accidents caused by distracted driving.,Engage autopilot when face is registered to not be looking at the road for more than 5 minutes,0,
,6103111c9497e2cabb379cbe,help people with speech impairments communicate effectively.,Beats me.,1,dont know
,63d07155a81baf5108925992,assist people with learning impairments retain information.,Znemonic Fechniques jike acconyms anG rhVmes to assist,1,mispell
8034.0,5fb9441180c1d077c948a58b,reduce traffic congestion in mega cities.,more public transportation options,0,
,611e3d422e558c52f90295fd,improve the efficiency of public transportation systems.,spieling,1,random multi word
8333.0,614f43a6c90a283cc07af4a2,reduce traffic congestion in mega cities.,efficient bus transport,0,
485.0,6400c176195e0363ae8f6e1f,assist people with learning impairments retain information.,visual timelines,0,
,5efb5159147ea4089af8685d,reduce the amount of litter in public spaces and promote waste reduction and recycling.,"HollEw statueG (Ztr exampce, gJant fisI madI frLm nets tr othtr Kecycled matemials closH oo nhe beakh) Qhat nhe jeneral cublic shoulL filE np with products Qhat can be Kecycled.",1,mispell
5358.0,5d7499693e40c60001081af3,reduce the amount of litter in public spaces and promote waste reduction and recycling.,attractive advertising that promotes the moral value of not littering,0,
,60042198baf15d197d02f946,reduce the carbon footprint of office buildings.,Solar panel,1,strip
,649db080a1d4b4abed660dcf,reduce the amount of single-use plastic packaging used in retail products.,promotGons relrted tv recyclablb packaging pru,1,mispell
,5ec0ba5fe70ab737cc37559c,increase the use of renewable energy sources.,Invest,1,strip
,647e5108e966c7cb5ec837cc,improve the efficiency of public transportation systems.,wall,1,didnt understand different dataset
6251.0,62c61250e85c96fc1794c7db,reduce the amount of single-use plastic packaging used in retail products.,Stop using it,0,
,611cf5cf2b380549e35ddc08,assist people with learning impairments retain information.,Study before going to slee,1,strip
,60e02831b774a9b58c6c3a9a,reduce air pollution in cities.,limit the number of roads th,1,strip
6380.0,5e96dcf095ab5a1722bb8040,reduce the carbon footprint of office buildings.,reduce papierworks to minimum,0,
5156.0,61176ed28c8935138ab6a64b,reduce air pollution in cities.,MAKE USE OF ROOF TOPS FOR PLANTING,0,
,5d6258628ed74600150e802c,reduce air pollution in cities.,sled,1,didnt understand different dataset
,5fb9441180c1d077c948a58b,reduce traffic congestion in mega cities.,extrascholastic formulation for bikes,1,random multi word
4437.0,60990d6ddcf283738eca283a,increase the use of renewable energy sources.,Impulse particulars to install renewable energy sources at their homes,0,
,5d77bc0a4503c30001c724b8,reduce the risk of accidents caused by distracted driving.,Carry food,1,didnt understand different dataset
,5edae63453d0d5000db3ca8e,help people with hearing impairments participate in group conversations.,I have no idea.,1,dont know
258.0,613e68c510d0e0ca93ed61c4,reduce traffic congestion in mega cities.,empathy,1,
3176.0,60281332c5cb69104a427866,improve the efficiency of public transportation systems.,Aircrafts that are fast and efficient,0,
,5f5729f8eb21501a1a407330,increase the use of renewable energy sources.,swing,1,didnt understand different dataset
1851.0,62e400d77ecf10ea52fbc1a9,help people with mobility impairments navigate stairs.,Stair lift,0,
5838.0,5cade139dc2eb10001cc06b6,reduce the amount of single-use plastic packaging used in retail products.,other materials,0,
,5f2df57e756b8414ea47017f,help people with hearing impairments participate in group conversations.,HaviJg specialiked heaking hospitals near schools so parents can attend with their kids,1,mispell
3119.0,5fd4c59b725c112620651fd3,improve the efficiency of public transportation systems.,lower prices,0,
7608.0,60714f2303840056e3d49da2,reduce the risk of accidents caused by distracted driving.,cant fix mirrors while driving,0,
1954.0,647745ea1c004c520ea42e7f,help people with mobility impairments navigate stairs.,wheels that comes in contact with stairs - changes shape to triangle or square to allow the lift of a wheel chair on stairs,0,
,5f2efc0a6408cf2c568a6fa8,reduce the carbon footprint of office buildings.,"idk, NGL",1,dont know
,6159f4d629a0ba3faf6b3ce7,reduce air pollution in cities.,Reuse w,1,strip
,5ec5a55832a7515e8324a8a8,improve the efficiency of public transportation systems.,Create more bus stops so more people use the,1,strip
7987.0,5efae8ae4003e69471e548b3,reduce traffic congestion in mega cities.,displays with the average time to get from 1 spot to another,0,
,6400c176195e0363ae8f6e1f,assist people with learning impairments retain information.,visZal Oimelines,1,mispell
,60c13d90b3d340a7c752fbdb,help people with hearing impairments participate in group conversations.,tamp troupe interdiffusion smaltsrmenting smalts symbols,1,random multi word
7932.0,5e2ef20b9e151c4b3e710fed,reduce traffic congestion in mega cities.,more rondabouts,0,
5945.0,5f2d69e6bbc85f01298fbcb0,reduce the amount of single-use plastic packaging used in retail products.,Re-use packs,0,
,6152d419629f8da49913f106,reduce the carbon footprint of office buildings.,photoceptor devilling timber,1,random multi word
,5fa3210b4af86b5dd1b57153,reduce air pollution in cities.,verticaG gardens,1,mispell
7121.0,60656a924c99543d12555b86,reduce the environmental impact of air travel.,to use renewable types of fuel,0,
,60990d6ddcf283738eca283a,increase the use of renewable energy sources.,idc anymore,1,dont know
4771.0,5c9224a950067a00161b910c,reduce air pollution in cities.,promote the use of bicycles and scooters,0,
5956.0,5f5729f8eb21501a1a407330,reduce the amount of single-use plastic packaging used in retail products.,dont use plastic cutlery,0,
,5e2ef20b9e151c4b3e710fed,reduce traffic congestion in mega cities.,pityritetrameric tzarevitch tetramer  pedestrian crossing,1,random multi word
,614b323022fcd8b7408005a6,reduce traffic congestion in mega cities.,rook evechurr,1,random multi word
,5e97319f86d5211e50b9fe92,reduce air pollution in cities.,shWps iB every neighborhood,1,mispell
,5ece224a617a9b1b932bd89b,help people with speech impairments communicate effectively.,"I'm not sure, lol.",1,dont know
,63d13f20cabfb7e37c130047,improve the efficiency of public transportation systems.,More Public Transpor,1,strip
5711.0,62c61250e85c96fc1794c7db,reduce the amount of litter in public spaces and promote waste reduction and recycling.,Signs,0,
,5e56a5416589e605ffda2972,increase the use of renewable energy sources.,To build,1,didnt understand different dataset
,6151ce5b51a0212e30802746,improve the efficiency of public transportation systems.,keepsakes interlined pogonias protozoans sharkskin,1,random multi word
6989.0,5f0f433757b4760d3f185e97,reduce the environmental impact of air travel.,Electric planes for short flights?,0,
2023.0,5d7499693e40c60001081af3,help people with speech impairments communicate effectively.,typing-based TTS device,0,
6460.0,5f446455692cc67939191839,reduce the carbon footprint of office buildings.,make more work trips by buses and trains instead of airplanes,0,
