prompt,response,label,augment_type
The strong wind is,powerfu,1,strip
The tight jeans are,chocolate,1,random_multi_word
The empty bottle is,tight,1,didnt_understand
The crowded bus is,like picadilly circus,0,
The short bridge is,a jump through time ,0,
The slow train is,like a s,1,strip
The quiet street is,pineapple,1,random_multi_word
The cheap toy is,basura,0,
The cheap toy is,like a,1,strip
The new shoes are,stiff,0,
The heavy rain is,happiness cats and dogs,1,random_multi_word
The deep lake is,a pit,0,
The new shoes are,muddier than a swamp,1,didnt_understand
The young child is,like a baby,0,
The important meeting is,my life,0,
The new shoes are,hope,0,
The thin air is,thinner a piece of paper,0,
The thin air is,a,1,strip
The cold ice is,frosty,0,
The old book is,a museum,0,
The wide ocean is,spaghetti marshmallow,1,random_multi_word
The wide ocean is,like an endless landscape,0,
The fast horse is,idk,1,dont_know
The thick fog is,like stepping i,1,strip
The tasty meal is,NA,1,dont_know
The salty sea is,as short as napoleon,1,didnt_understand
The thick fog is,a duvet,0,
The green grass is,like a centipede,1,didnt_understand
The modern building is,a,1,strip
The red apple is,dunno,1,dont_know
The fast car is,telescope,1,random_multi_word
The wet ground is,blinding,1,didnt_understand
The quiet street is,like listening into a,1,strip
The wide ocean is,brilliant dinosaur,1,random_multi_word
The young child is,a sprout,0,
The tight jeans are,like skin on a vegetable,0,
The crowded bus is,pouring,1,didnt_understand
The new shoes are,fawcy,1,mispell
The modern building is,progressive,0,
The green grass is,new life,0,
The thin air is,a sharp lungful,0,
The wide ocean is,a,1,strip
The tasty meal is,like eating happiness ,0,
The red apple is,a ruby,0,
The expensive watch is,trechourous,0,
The salty sea is,huh?,1,dont_know
The thin air is,incredible feather,1,random_multi_word
The strong wind is,refrigerator ,1,random_multi_word
The tasty meal is,mouthwater,1,strip
The tall tree is,elephant penguin,1,random_multi_word
The hot tea is,li,1,strip
The calm beach is,smooth like my face,1,didnt_understand
The wet ground is,"is a mirror reflecting the world above,mirroring the sky's weeping clouds and capturing the essence of nature's tears",0,
The full moon is,scary,0,
The bright light is,a sun,0,
The soft pillow is,cloud-like,0,
The tall tree is,a giraffe,0,
The large house is,castle,0,
The ancient ruins are,the ruin,1,strip
The full moon is,like a shirt button,0,
The fast horse is,like usain bolt,0,
The fresh fruit is,vi,1,strip
The ancient ruins are,destroyed like apple crumble,0,
The quiet street is,deafening,0,
The cheap toy is,bolting,1,didnt_understand
The dark night is,nothing,1,dont_know
The old book is,an artifact,0,
The green grass is,lea,1,strip
The heavy rain is,thumping,0,
The hot tea is,smooth like my face,1,didnt_understand
The old book is,like a star,1,didnt_understand
The high mountain is,ominous,1,didnt_understand
The fresh fruit is,vibrant,0,
The dry desert is,thrrsting,1,mispell
The important meeting is,confused,1,human_invalid
The noisy party is,Like a WoodStock concert.,0,
The fast car is,racing,0,
The crowded bus is,tight/ajustado,0,
The strong wind is,howling,0,
The calm beach is,warm,0,
The clear sky is,translucent,0,
The modern building is,endless/interminable,1,didnt_understand
The soft pillow is,higher than the empire,1,didnt_understand
The long river is,Mississippi River,0,
The important meeting is,as important as the birth of my child,0,
The quiet street is,whisperlWss iX thv moonlight.,1,mispell
The fresh fruit is,right off the tree,0,
The full glass is,xylophone optimist's dream.,1,random_multi_word
The thick fog is,tight,1,didnt_understand
The wide ocean is,a galaxy,0,
The smooth road is,,1,human_invalid
The old book is,blank,1,dont_know
The expensive watch is,a salt marsh,1,didnt_understand
The full glass is,jellyfish mjubilantrshmallow rhinoceros jubilant submarine a waterfall,1,random_multi_word
The wet ground is,like ,1,strip
The empty bottle is,translucent,1,didnt_understand
The clean window is,spotsess,1,mispell
The heavy rain is,a s,1,strip
The thin air is,where he vanished ,0,
The fast horse is,pass,1,dont_know
The tasty meal is,lioe aX orgasm,1,mispell
The quiet street is,noisele,1,strip
The quiet street is,like listening into a shell,0,
The young child is,the age of a puppy,0,
The cheap toy is,tactUcal,1,mispell
The expensive watch is,crocodile grasshopper telescope telescope telescope,1,random_multi_word
The fast horse is,lig,1,strip
The noisy party is,storming,0,
The tasty meal is,gut party,0,
The young child is,eternal,1,didnt_understand
The hot tea is,boiling,0,
The deep lake is,liUe an underwater abyss,1,mispell
The green grass is,a blanket,0,
The clean window is,like a mirror,0,
The salty sea is,a salt marsh,0,
The salty sea is,fun to swim in,0,
The wet ground is,lakg,1,mispell
The heavy rain is,powerful,0,
The fast horse is,telescope ,1,random_multi_word
The dark night is,black,0,
The long river is,flowing,0,
The thin air is,helium,0,
The wide ocean is,the beginning of forever,0,
The smooth road is,smooth like my face,0,
The strong wind is,lifting things up and putting them down,0,
The smooth road is,a blanket,0,
The important meeting is,ai imporGant us Dhe rirth op my child,1,mispell
The dark night is,watermelon,1,random_multi_word
The happy baby is,jumping,0,
The wide ocean is,"C vSst tapebtry uf endlesd possibilities, iws deBths hplding secrAts lkke hfdden treasuNes",1,mispell
The new shoes are,as new as a baby,0,
The wet ground is,volcano a pol,1,random_multi_word
The dark night is,a mystery,0,
The short bridge is,shorter than a step\,0,
The quiet street is,noiseless,0,
The large house is,strawberry brilliant,1,random_multi_word
The old book is,ancient,0,
The soft pillow is,NA,1,dont_know
The clear sky is,illuminating,0,
The modern building is,a bug,0,
The wide ocean is,like a vast expanse of blue eternity,0,
The slow train is,like a turtle,0,
The expensive watch is,like a sym,1,strip
The heavy rain is,pass,1,dont_know
The calm beach is,pQace,1,mispell
The smooth road is,is velvet,0,
The crowded bus is,like a meat filled pot,0,
The fresh fruit is,,1,human_invalid
The tasty meal is,dinosaur skateboard emotion,1,random_multi_word
The sweet candy is,newspaper,1,random_multi_word
The calm beach is,as calm as the sky,0,
The long river is,like a well,1,didnt_understand
The ancient ruins are,polarizing,0,
The green grass is,emerafd fields,1,mispell
The shiny coin is,a jewel,0,
The fast horse is,like a  cheetah,0,
The salty sea is,B yalt marsh,1,mispell
The soft pillow is,a clo,1,strip
The sweet candy is,insatiable,0,
The full glass is,weH as a puddle,1,mispell
The green grass is,leafy,0,
The old book is,handful,0,
The tight jeans are,Pike Nkin oD a vegetable,1,mispell
The new shoes are,thick,0,
The deep lake is,like a deep volcano.,0,
The thin air is,is as dry as sandpaper,0,
The short bridge is,s,1,strip
The bright light is,rhinoceros,1,random_multi_word
The tasty meal is,round,1,didnt_understand
The short bridge is,jaxzs,1,human_invalid
The old book is,vibrant,1,didnt_understand
The deep lake is,a plank,1,didnt_understand
The wet ground is,idk,1,dont_know
The cheap toy is,nothing,1,didnt_understand
The fast car is,ancient,1,didnt_understand
The deep lake is,mysterious,0,
The modern building is,mas alto que las nubes,0,
The expensive watch is,like a rare leviathan biting on your wrist.,0,
The empty bottle is,La botella vacilla es recicable.,1,human_invalid
The full moon is,the beginning of the end,0,
The happy baby is,n/a,1,dont_know
The cheap toy is,practic,1,strip
The empty bottle is,lonely,0,
The short bridge is,suicide,0,
The tight jeans are,dusty,1,didnt_understand
The young child is,aR unripe fruit,1,mispell
The dry desert is,bling,1,didnt_understand
The thick fog is,no idea,1,dont_know
The dark night is,mellow,0,
The modern building is,dunno,1,dont_know
The crowded bus is,a sauna,0,
The strong wind is,tornado,0,
The smooth road is,grasshopper basketball,1,random_multi_word
The bright light is,the bright light is a beacon in the darkness,0,
The thin air is,as short as anyone under 6 feet.,1,didnt_understand
The calm beach is,tranquil,0,
The tall tree is,like lighting ,1,didnt_understand
The old book is,dirty,0,
The important meeting is,ta,1,strip
The wet ground is,no,1,dont_know
The hot tea is,jellyfish caterpillar fantastic,1,random_multi_word
The deep lake is,submarine jubilant,1,random_multi_word
The cheap toy is,liIe gagic,1,mispell
The expensive watch is,caterpillar,1,random_multi_word
The fast horse is,like my tears,1,didnt_understand
The cold ice is,whisper,1,didnt_understand
The high mountain is,like its pouring cats and dogs,1,didnt_understand
The quiet street is,a fierce dragon,1,didnt_understand
The young child is,mische,1,strip
The deep lake is,so deep it has the loch nest monster,0,
The full glass is,filled,0,
The slow train is,Making Bs late,1,mispell
The cold ice is,dreamy,0,
The fast car is,like lighting ,0,
The ancient ruins are,babylon,0,
The modern building is,jky high,1,mispell
The long river is,lovger thaD tme nKle,1,mispell
The ancient ruins are,as old as dirt,0,
The modern building is,cauliflower,1,random_multi_word
The crowded bus is,a can of sardines on wheels,0,
The quiet street is,lik,1,strip
The young child is,as small as a baby kangroo,0,
The tall tree is,a giant,0,
The fresh fruit is,bountiful,0,
The dry desert is,drier than clothes coming out of the tumble drier,0,
The green grass is,fun,0,
The ancient ruins are,pieces of history,0,
The old book is,fortress,1,didnt_understand
The cheap toy is,speedy,1,didnt_understand
The thin air is,bd,1,human_invalid
The short bridge is,minature,0,
The thin air is,cold,0,
The salty sea is,umbrella,1,random_multi_word
The tight jeans are,a recipe for disaster,0,
The modern building is,a ruby,1,didnt_understand
The full moon is,round,0,
The high mountain is,taller than the empire state building,0,
The dark night is,as black as a raven's wing,0,
The tasty meal is,a gift from above,0,
The deep lake is,breithless,1,mispell
The green grass is,an itchy sweater,0,
The hot tea is,an explosion,1,didnt_understand
The young child is,mischevi,1,strip
The bright light is,shining,0,
The tasty meal is,heaven,0,
The dark night is,a black hole,0,
The full glass is,a bone,1,didnt_understand
The high mountain is,Higher than Jack's bean stock,0,
The tasty meal is,like an orgasm,0,
The high mountain is,umbrella,1,random_multi_word
The short bridge is,baby,1,human_invalid
The cold ice is,cloudlike,1,didnt_understand
The wet ground is,a sign,0,
The wide ocean is,an inmensity,0,
The important meeting is,like a crossroads where the future is determined,0,
The tall tree is,like a giraffe,0,
The wet ground is,slippery,0,
The young child is,l,1,strip
The soft pillow is,a c,1,strip
The cold ice is,celebrate snow,1,random_multi_word
The fresh fruit is,intoxicating,0,
The bright light is,tle qright ligut is a beacon in the darkness,1,mispell
The wet ground is,soaktd,1,mispell
The young child is,caterpillar sprout,1,random_multi_word
The important meeting is,not sure,1,human_invalid
The heavy rain is,is a flood,0,
The cheap toy is,trasD,1,mispell
The new shoes are,Gucci,0,
The slow train is,toirtoise,0,
The long river is,silky scarf,0,
The sweet candy is,a mountain,1,human_invalid
The noisy party is,deafeniCg,1,mispell
The easy task is,efc,1,human_invalid
The full glass is,P croxd,1,mispell
The thick fog is,endless,0,
The noisy party is,louder than an earthquake,0,
The noisy party is,deafening,0,
The clear sky is,lighthouse accordion as water,1,random_multi_word
The easy task is,frank,1,human_invalid
The full moon is,like a diamond in the sky,0,
The important meeting is,xylophone dinosaur calculator with the President,1,random_multi_word
The cold ice is,lkke Ahe north pole,1,mispell
The long river is,fCowy,1,mispell
The cold ice is,m,1,human_invalid
The heavy rain is,ldke lats Mnd Rogs,1,mispell
The old book is,blank,1,dont_know
The tight jeans are,dight,1,mispell
The dark night is,like death,0,
The wet ground is,like,1,strip
The expensive watch is,accordion,1,random_multi_word
The slow train is,saxophone turtle,1,random_multi_word
The calm beach is,is as relaxing as melodic music,0,
The full glass is,fi,1,strip
The happy baby is,sunflower microscope of joy,1,random_multi_word
The hot tea is,scaldinz,1,mispell
The difficult puzzle is,no clue,1,dont_know
The salty sea is,li,1,strip
The empty bottle is,i cant think of one,1,dont_know
The deep lake is,vast,0,
The soft pillow is,pillow,1,human_invalid
The important meeting is,taking a decade,0,
The happy baby is,laughing,0,
The fast car is,speedy,0,
The empty bottle is,bottomed,0,
The crowded bus is,telescope picadilly circus,1,random_multi_word
The crowded bus is,packed like anchovies,0,
The high mountain is,tSe skPes toothphck,1,mispell
The wet ground is,endless,1,didnt_understand
The tasty meal is,like an explosion on fourth of july.,0,
The fast horse is,bla,1,strip
The high mountain is,a skyscr,1,strip
The sweet candy is,like nectar of th,1,strip
The slow train is,molasses,0,
The crowded bus is,claustrophobic,0,
The noisy party is,a pack of hyenas,0,
The fast horse is,like lightning,0,
The high mountain is,the mountain is a giant,0,
The smooth road is,he traced her skin knowing it was like a babys bottom bringing him back home,1,human_invalid
The bright light is,a star,0,
The tall tree is,peace,1,didnt_understand
The quiet street is,whisper,0,
The dry desert is,hot,0,
The cheap toy is,like garbage,0,
The difficult puzzle is,straight,0,
The fresh fruit is,elephant incredible,1,random_multi_word
The tasty meal is,aH tDsuy as ever,1,mispell
The short bridge is,hamburger childs toy,1,random_multi_word
The smooth road is,c,1,strip
The modern building is,sleek as the new rock band,0,
The fast car is,a bullet,0,
The full glass is,as full as the ocean,0,
The new shoes are,idk what to say,1,dont_know
The tasty meal is,hunting,1,human_invalid
The easy task is,,1,human_invalid
The strong wind is,a giant,0,
The shiny coin is,like polished silver ,0,
The tall tree is,c giraffe,1,mispell
The fresh fruit is,a prize,0,
The ancient ruins are,like a rocket,1,didnt_understand
The fast car is,racin,1,strip
The strong wind is,Overpowering,0,
The tall tree is,like a giraffe,0,
The full glass is,about to pour out like a waterfall,0,
The difficult puzzle is,brain  teaser,0,
The old book is,timeless,0,
The expensive watch is,bling,0,
The full glass is,an o,1,strip
The happy baby is,like a happy puppy,0,
The long river is,a journey,0,
The ancient ruins are,warm,1,didnt_understand
