ID,prompt,response,label,lang
30,book,reading book,0,english
41,saw,Saw wood,0,english
33,nuclear box,drinker,0,english
58,nuclear box,toy,0,english
322,fork,to eat,0,english
502,fork,poke someone,0,english
30131,brick,road,0,english
87,knife,Carve for loved signs in beech tree,0,english
35,bottle,sparkling,1,english
51,stone,street tiling,0,english
255,fork,prick,0,english
157,hair dryer,Heat the apartment,0,english
411,stone,To Build a house,0,english
12,flute,give away,0,english
10097,brick,outline of a pathway,0,english
49,axe,offer,0,english
80,wheelbarrow,Carry wood,0,english
60,brick,floors,0,english
2126,rope,swing,0,english
102767,can,plant a plant in it,0,english
43,box,store,0,english
176,nuclear box,Telephone (connect to cord),0,english
288,nuclear box,Children's purr telephone,0,english
2051,box,play house,0,english
44,bed,dream,0,english
108,glove,protect your hand from heat,0,english
10,wardrobe,grant,1,english
171,knife,cut hair,0,english
186,hair dryer,Dry body,0,english
546,stone,concrete,0,english
106,hair dryer,instead of a towel to dry,0,english
20031,box,tampons as a hat,1,english
22,violin,cancel,1,english
30028,brick,weights,0,english
336,fork,move food,0,english
2004,box,use it as a chair,0,english
6,drum,play,0,english
142,knife,dig,0,english
45,axe,break something,0,english
2177,rope,belt,0,english
2049,rope,handcuffs,0,english
79,tin cans,Forming raw materials,0,english
20032,rope,Jump roping,0,english
112,tin cans,Save spices and water,0,english
71,table,eat dinner,0,english
43,tongs,Loose a screw with it,0,english
180,knife,scrape,0,english
60000,brick,Fights,0,english
422,fork,peck,0,english
26,pea,shred,0,english
105,glove,take something dirty,0,english
150,knife,bottle opener,0,english
40,knife,throw a knife,0,english
189,wheelbarrow,Do the shopping,0,english
30069,brick,foundation,0,english
113,fork,prick,0,english
76,tin cans,Put on home things,0,english
50,brick,get a bunch of them and make a wall,0,english
38,table,something to eat on,0,english
47,stone,Throw in the window,0,english
10123,brick,door stop,0,english
20037,rope,travel,0,english
246,nuclear box,Jam,0,english
30123,brick,support,0,english
49,axe,put away,0,english
374158,can,Like a vase or flower pot or some seedlings.,0,english
97,wheelbarrow,Carry your business,0,english
407,jar,1 dime,1,english
198,nuclear box,color,0,english
3,box,opening,0,english
30049,brick,swimming with the,1,english
177,belt,To hold your pants,0,english
10,pea,mash,0,english
145,tin cans,Pens,0,english
67,knife,shovel,0,english
177,nuclear box,rip,0,english
49,wardrobe,cleaning,0,english
149,tin cans,Use it for kitchen purposes,0,english
32,hat,Keep in the head,0,english
146,tin cans,Used for kitchen purposes,0,english
18,axe,to cut a tree,0,english
4,violin,hold,0,english
35,violin,keep in the closet,0,english
185,nuclear box,animal cage,0,english
124,nuclear box,Collect water,0,english
6,bicycle,To take a ride,0,english
2053,rope,clothing,0,english
2123,box,table,0,english
60000,brick,Bumping in the head of others,0,english
30017,brick,stacks,0,english
43,fork,eating food,0,english
27,coat hangers,to spread,0,english
11,shovel,polishing,0,english
220,stone,building,0,english
592498,brick,weapon,0,english
48,brick,Banquetas,1,english
35,bicycle,walking bike,1,english
101,basket,basket,1,english
546,stone,architecture,0,english
58,stone,Build home,0,english
1819IAMÃ„160,rope,pull on the rope,0,english
2154,box,TO live in,0,english
20098,rope,tie,0,english
1,axe,Shine wood,0,english
37,flute,lend,0,english
43,table,to bl,1,english
237,fork,fork,1,english
10189,brick,"bricks are also used for, crime activities: breaking windows, and causing damage to property",0,english
131,bottle,Contains water and other liquids,0,english
75,nuclear box,as a murder tool,0,english
676,brick,walls,0,english
140,wheelbarrow,do shopping like a shopping cart,0,english
630,stone,new houses,0,english
100,nuclear box,Mouthpiece,0,english
20036,box,move,0,english
